"comune1921","circondario1921","provincia1921","regione1921","fascist_violence","fascist_branch","fascist1921_vv","fascist1921restr","fascist1924_vv","deportations_d","depo_pop_cap1","large_donors","foots_pop6m","excess_mf1918","rain1919","psu1913_vv","psu1919_vv","psu1920d","psu1921_vv","psu1924_vv","strike_agr_1920","z_red_scare_index","lpop1911","sh_pop_1911_be6","larea","centre_alt","max_alt","ard_vol_pop6m","army_suppliers_d","cruent_d","veterans74_95","veterans96_00","dlab","shcrop","landlord_ass","ind_workers","ind_firms","literacy","elites","bourgeoisie","ownfarm_lots1885","nazi_occ_duration","viol_crimes1874","crime1874","lpop2","lpop3","lpop4","ppi1919_vv","fascist1919_vv","nationalist1919_vv","pnf1921_vv","pnf1921_d","ppi1921_vv","off_fascist1924_vv","ppi1924_vv","traditional1919_vv","traditional1921_vv","traditional1924_vv","casualties_pop6m","draft_foots_pop6m","draftres_foots_pop6m","arditi_pop6m","volunt_pop6m","ard_vol_d","ass_memb1900s_pop","ass1900s_d","agrstrike1913_4","indstrike1913_4","agrstrikers1913_4","indstrikers1913_4","fascist_murders","political_violence","other_violence","mlarge1885","jewish_pop1911","monuments1921d","monuments1921_pop","volunteers1866d","volunteers1866_pop","z_fascism_index","no_south","psu_cand1913","salo","KZ","veterans","province_fe","fascist_spread_21","fascist_spread_24","COD_REG","PRO_COM","cod_istat","idcl","latitude","longitude","trepublics","instability","tcomrep","tmarrep","tcomrep_s","tcomrep_a","tmarrep_s","tmarrep_a","samestory","fc","pg","pd","sc","institutions","mutualhelp","organdonation","turnout","turnout_ref","costal","nearsea","sea_distance100","dist_river100","alt_com100","rug_med100","CaloricSuitpre15nr100","lnpop1000","dist_romanrd100","dist_bishop1000Km_GSZ100","freecity","comune_lega_lombarda_allnord","lmeand_communal","ldistCapital_indeponly0","ldistCapital_indeponly_rp0","d_border","ncent_border","panel","pop_com","avg_gapIMU_1218","prov_name_110","cod_reg","regione","sh_surnames_com","sh_surnames_mar","podcom","podmar","podcom_s","podcom_a","podmar_s","podmar_a","romprov117ad","romprov117ad_1","romprov117ad_2","romprov117ad_3","romprov117ad_4","romprov117ad_5","romprov117ad_6","romprov117ad_7","Polity1000","Polity1000_1","Polity1000_2","Polity1000_3","Polity1000_4","Polity1000_5","Polity1000_6","Polity1000_7","Polity1000_8","locationsBOFEVE","stat","stat_ass","dlf_1926","ln_assmemb","stat_p1000","ln_stat_p1000"
"abano","padova","padova","veneto",0,0,0.0229207165539265,NA,0.351797848939896,0,0,0,0.032577320933342,NA,0.938671171665192,0,0.397350996732712,1,0.611570239067078,0.340136051177979,0,0.665852844715118,8.6475191116333,0.171875,7.67647361755371,14,86,0,0,1,0.269479960203171,0.136279851198196,0.120083801448345,0.00770949712023139,0,0.0393431410193443,0.0150530273094773,0.74350517988205,0.0294692739844322,0.162374302744865,0,720,1.15835154056549,4.0950174331665,74.7795867919922,646.657897949219,5591.98681640625,0.482119202613831,0,0,0,0,0.292011022567749,0.351797848939896,0.297376096248627,0.120529800653458,0.073498010635376,0.00291545200161636,0.0420618541538715,0.00907216500490904,0.0309278350323439,0,0,0,0.17345504462719,1,0,0,0,0,0,0,0,0,0.00133819063194096,0,0,1,0,-0.854983508586884,1,0,1,0,0.405759811401367,"padova",0.0229207165539265,0.328877132385969,5,28001,5028001,235547,45.2917175292969,11.7917175292969,5.01999998092651,15,1.12,3.9,1.01,0.109999999403954,0,3.90000009536743,1041,68.0822067260742,2.7815043926239,7.36987066268921,2.35014843940735,0,0.274634748697281,0,94.3985366821289,49.7544937133789,0,0,0.359343528747559,0.174091294407845,0.140000000596046,0.0604087449610233,24.6170501708984,-2.45071530342102,0.00602892599999905,0.0808470696210861,0,0,5.12375211715698,4.47971248626709,3.7556803226471,1,0.280000001192093,1,19320.5714285714,0.257879674434662,"Padova",5,"VENETO",0.459136813879013,0,1.09146475791931,0.354380249977112,0.985383689403534,0.106081083416939,0,0.354380249977112,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,-1.75183682194671,0,NA
"abbadiaalpina","pinerolo","torino","piemonte",0,0,0.0144576262682676,NA,0.176923081278801,0,0,0,0.0208643823862076,NA,0.544313609600067,0.338582664728165,0.47550430893898,0,0.361111104488373,0.196153849363327,0,-0.241664916276932,7.38336801528931,0.106898695230484,6.43775177001953,376,1386,0,0,1,0.188652843236923,0.118663214147091,0.134100154042244,0.0269322488456964,0,0.386243373155594,0.0238095242530107,0.870342791080475,0.0350680314004421,0.0722401440143585,1,720,0.863433599472046,6.2359094619751,54.5141220092773,402.497833251953,2971.78955078125,0.285302579402924,0,0,0,0,0.367283940315247,0.173076927661896,0.196153849363327,0.239193096756935,0.257147312164307,0.430769234895706,0.0432190746068954,0.0044709388166666,0.0208643823862076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155553658260033,0,0,0,0,-1.17837285995483,1,1,1,0,0.307316057384014,"torino",0.0144576262682676,0.162465455010533,1,1254,1001254,231123,44.875,7.29171752929688,0,13,0,0,0,0,0,0,257,74.7555389404297,0,6.33676195144653,5.2562370300293,0,0.295945554971695,0,89.5381393432617,53.4899482727051,0,0,1.13690102100372,0.15632900595665,4.13000011444092,1.02506959438324,24.9999465942383,-2.99573230743408,0.0280569009482861,0.0442087054252625,0,0,5.70377063751221,NA,NA,1,0.28999999165535,1,3497.85714285714,0.247522741556168,"Torino",1,"PIEMONTE",0.185013875365257,0.0925069376826286,0,0,0,0,0,0,"ALPES COTTIAE",0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,NA,0.000621504121630258,-7.38336801528931
"abbadiacerreto","lodi","milano","lombardia",0,0,0.0854305848479271,NA,0.888059675693512,0,0,0,0.054166667163372,NA,0.845328986644745,0.0705882385373116,0.363636374473572,1,0.52816903591156,0.0671641826629639,0,0.608475565910339,6.25575017929077,0.161228403449059,6.41509675979614,64,70,0,0,1,0.337421894073486,0.203431233763695,0.516853928565979,0.00112359551712871,0,0.00701754400506616,0.00350877200253308,0.883333325386047,0.00898876413702965,0.0808988735079765,0,718,0.30418249964714,3.1432192325592,39.1344108581543,244.815093994141,1531.50207519531,0.113636367022991,0,0,0,0,0.133802816271782,0.888059675693512,0.0447761192917824,0.5,0.252597570419312,0,0.070833332836628,0.0416666679084301,0.0500000007450581,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168265225715e-05,0,0,0,0,0.345304906368256,1,1,1,0,0.540853127837181,"milano",0.0854305848479271,0.802629090845585,3,98001,3098001,234779,45.2917175292969,9.54171752929688,2.78999996185303,29,2.79,0,2.73,0.0599999986588955,0,0,725,67.5,0,3.86506295204163,14.6715335845947,0,NA,0,94.5593566894531,54.3766555786133,0,0,1.16175401210785,0.00708439387381077,0.639999985694885,0.0522636659443378,25.0376796722412,-2.99573230743408,0.0386252999305725,0.0691296681761742,0,0,5.14319849014282,3.82921576499939,4.96135425567627,1,0.129999995231628,1,282.142857142857,0.22419174015522,"Lodi",3,"LOMBARDIA",1.38888895511627,0,2.7145471572876,0,2.65806078910828,0.0564864873886108,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA
"abbadiasansalvatore","montepulciano","siena","toscana",0.414593696594238,1,0.0567807480692863,0.0567807480692863,0.9379061460495,0,0,1,0.0308641977608204,NA,0.749180614948273,0.153284668922424,0.46000000834465,1,0.519047617912292,0.0252707581967115,1,1.54163873195648,8.48135852813721,0.167081266641617,8.68236827850342,829,1734,0.000949667592067271,0,1,0.279980182647705,0.149919956922531,0.210146561264992,0.174746334552765,0,0.299723207950592,0.0114669827744365,0.455840468406677,0.0142051856964827,0.0505073294043541,1,421,0.259590953588486,1.33503925800323,71.9334411621094,610.093322753906,5174.419921875,0.387826085090637,0,0,0,0,0.238095238804817,0.9379061460495,0.0303249098360538,0.119999997317791,0.183695435523987,0.000722021679393947,0.0379867032170296,0.0166191831231117,0.0303893629461527,0.000949667592067271,0,1,0.0551409609615803,1,0,0,0,0,0.207296848297119,0.414593696594238,0,0,6.33560994174331e-05,0,0,0,0,2.42422080039978,1,1,1,0,0.429900139570236,"siena",0.0567807480692863,0.881125397980213,9,52001,9052001,215427,42.875,11.625,3.35999989509583,6,3.36,0,0,3.35999989509583,0,0,1227,76.7612762451172,0,5.64386081695557,11.0151309967041,1,0.439110070466995,0,93.349609375,55.0716171264648,0,0,0.572585165500641,0.375888913869858,8.22000026702881,2.37173771858215,25.9181518554688,-2.99573230743408,0.19604080915451,0.199744090437889,0,0,5.25623178482056,4.47425127029419,5.36380863189697,1,0.280000001192093,1,6746.42857142857,0.266221195459366,"Siena",9,"TOSCANA",0.7337526679039,0,2.65883922576904,0,0,2.65883922576904,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,2,1,0,0,-2.89786244587095,0.000207296892676168,-8.48135852813721
"abbadiasopraadda","lecco","como","lombardia",0,0,0.0100524481385946,0.0100524481385946,0.532786905765533,0,0,0,0.0236697755753994,NA,1,0.0623347200453281,0.309677422046661,0,0.289772719144821,0.147540986537933,0,-0.523877620697021,6.6605749130249,0.145966708660126,6.99850940704346,209,1731,0,0,1,0.186890617012978,0.137432605028152,0.106064483523369,0.0111310137435794,0,0.508108079433441,0.013513513840735,0.942122161388397,0.0348004102706909,0.0871289670467377,0,720,1.08104336261749,4.28930139541626,44.3632583618164,295.484802246094,1968.0986328125,0.329032272100449,0,0,0,0,0.318181812763214,0.532786905765533,0.188524588942528,0.361290335655212,0.381993025541306,0.106557376682758,0.0376932471990585,0.00701173627749085,0.0236697755753994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64369410276413,1,1,1,0,0.32432322204113,"como",0.0100524481385946,0.522734457626939,3,97001,3097001,239897,45.875,9.29171752929688,2.91000008583069,29,2.91,0,2.91,0,0,0,805,72.5719375610352,0,6.21576642990112,8.07728290557861,0,0.317359566688538,0,91.579345703125,47.5095329284668,0,0,1.69434797763824,0.06241500005126,2.03999996185303,6.68983507156372,26.1506290435791,-2.99573230743408,0.0484456978738308,0.241410955786705,0,0,5.40243911743164,NA,NA,1,1.04999995231628,1,3249.14285714286,0.170086696743965,"Lecco",3,"LOMBARDIA",0.311042010784149,0,2.8375735282898,0,2.8375735282898,0,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA
"abbassanta","oristano","cagliari","sardegna",0,0,0,0,0.61410790681839,0,0,0,0.0273037534207106,NA,0.692283451557159,0,0.00425531901419163,0,0.0232558138668537,0.00414937781170011,0,-1.04366075992584,7.2435131072998,0.140814870595932,8.29029273986816,290,453,0,0,1,0.145492002367973,0.118146739900112,0.38081431388855,0.0170351583510637,0,0.0278592370450497,0.00293255131691694,0.399317413568497,0.0588377453386784,0.0456687211990356,1,132,1.09223306179047,9.34465980529785,52.4684829711914,380.05615234375,2752.94165039062,0.0382978729903698,0,0,0,0,0.131782948970795,0.61410790681839,0.0954356864094734,0.519148945808411,0.577519357204437,0.0912863090634346,0.0290102381259203,0.0102389082312584,0.0273037534207106,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000222142203710973,0,0,0,0,-0.57312685251236,0,0,0,0,0.263638742268085,"cagliari",0,0.61410790681839,20,95033,20095033,193471,40.125,8.79171752929688,2.71000003814697,10,0,2.71,0,0,0,2.71000003814697,511,72.2954483032227,1.17993295192719,4.15980863571167,21.7102642059326,0,0,0,84.9502944946289,51.3591117858887,0,0,0.295191705226898,2.6248939037323,3.15000009536743,0.592742443084717,19.9725456237793,-2.99573230743408,0.0135668003931642,0.321891009807587,0,0,6.23445510864258,6.06145143508911,6.0420241355896,0,0,1,1188.42857142857,0.367333561182022,"Oristano",20,"SARDEGNA",0.299401223659515,0.598802447319031,0,0.275679439306259,0,0,0,0.275679439306259,"SARDINIA ET CORSICA",0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"abbiategrasso","abbiategrasso","milano","lombardia",0,1,0.067796602845192,NA,0.443791061639786,1,1,0,0.0303867403417826,0.793880820274353,0.785852789878845,0.264533579349518,0.539511263370514,1,0.602590322494507,0.363196134567261,0,0.907788515090942,9.44667625427246,0.139902099967003,8.45190811157227,120,124,0.000184162068762816,1,1,0.178350180387497,0.11991310864687,0.0434300787746906,0.00298197916708887,0,0.246144160628319,0.0165250226855278,0.816022098064423,0.0596173293888569,0.230369001626968,0,721,0.367093712091446,2.27598094940186,89.2396926879883,843.018493652344,7963.72265625,0.149158999323845,0.0656934306025505,0,0,0,0.187798231840134,0.439294368028641,0.153925970196724,0.17994287610054,0.141814842820168,0.0217917673289776,0.038674034178257,0.0134438304230571,0.0289134439080954,0.000184162068762816,0,1,0.00434233387932181,1,1,0,0.271416455507278,0,0,0.0789515227079391,0.0789515227079391,1,7.44584986023256e-06,0,0,1,0,0.691469728946686,1,1,1,0,0.298263289034367,"milano",0.00210317224264145,0.375994458794594,3,15165,3015165,235513,45.375,8.875,3.13000011444092,32,3.13,0,3,0.129999995231628,0,0,708,75.9145126342773,0,5.58532571792603,4.88032913208008,0,0,0,93.6055679321289,54.3140411376953,0,0,1.07253003120422,0.0151291005313396,1.07000005245209,0.123695001006126,26.419095993042,-2.24851775169373,0.0448706969618797,0.0747276619076729,0,0,5.32078266143799,3.93372201919556,5.03704404830933,1,0.109999999403954,1,1398.42857142857,0.236438870429993,"Milano",3,"LOMBARDIA",0.945626497268677,0,3.05443668365479,0,2.92673397064209,0.127702698111534,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,-5.43934331519863,0,NA
"abbiateguazzone","varese","como","lombardia",0.513874590396881,0,0.0403607338666916,NA,0.239740818738937,0,0,0,0.0376850590109825,NA,0.715651452541351,0.10429447889328,0.412987023591995,0,0.447598248720169,0.371490269899368,0,-0.348060071468353,7.57353115081787,0.194244608283043,6.93537044525146,313,371,0,0,1,0.254373610019684,0.156182259321213,0.105573453009129,0.0505075044929981,0,0.370967745780945,0.0139784943312407,0.932705223560333,0.044551145285368,0.121679939329624,0,719,1.10884153842926,4.02684545516968,57.3583755493164,434.405426025391,3289.98315429688,0.187012985348701,0,0,0,0,0.353711783885956,0.237580999732018,0.37580993771553,0.400000005960464,0.158329218626022,0.00647948123514652,0.0457604303956032,0.0148048456758261,0.0349932722747326,0,0,0,0,0,0,0,0,0,0,0.513874590396881,0,0,0.000219872948946431,0,0,0,0,0.330409735441208,1,1,1,0,0.410555869340897,"como",0.0403607338666916,0.199380084872246,3,13131,3013131,238436,45.7084045410156,8.875,3.13000011444092,27,3.13,0,3.01,0.119999997317791,0,0,788,73.0299682617188,1.21870064735413,5.90762519836426,10.8823089599609,0,0.252525240182877,0,92.7823333740234,47.654468536377,0,0,1.42675995826721,0.115114495158195,2.74000000953674,0.27478688955307,28.0259571075439,-2.99573230743408,0.020405599847436,0.176203235983849,0,0,5.42062187194824,4.32043313980103,5.21943521499634,1,0.159999996423721,1,4156.57142857143,0.181944042444229,"Como",3,"LOMBARDIA",0.343938112258911,0.0859845280647278,3.05408263206482,0,2.93624472618103,0.117837838828564,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA
"acquacanina","camerino","macerata","marche",0,0,0.11165414005518,0.11165414005518,0.979591846466064,0,0,0,0.0576923079788685,NA,NA,0,0,0,0.0736842080950737,0.0102040814235806,0,-1.05090260505676,6.18414878845215,0.158762887120247,7.9047040939331,662,1953,0,0,1,0.263467162847519,0.149779483675957,0.333556443452835,0.0577867031097412,0,0.0257731955498457,0.0154639175161719,0.794871807098389,0.0283355638384819,0.0566711276769638,1,418,1.23741495609283,5.11839818954468,38.2436981201172,236.50471496582,1462.58032226562,0.407894730567932,0,0,0,0,0.505263149738312,0.979591846466064,0.0102040814235806,0.592105269432068,0.309398502111435,0,0.0705128237605095,0.0320512838661671,0.0576923079788685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063130067428574,0,0,0,0,0.63892936706543,1,1,1,0,0.413246646523476,"macerata",0.11165414005518,0.867937706410885,11,43001,11043001,216073,42.9584045410156,13.125,0,10,0,0,0,0,0,0,394,58.4500007629395,0,4.11828756332397,28.421875,0,0,0,85.2444686889648,50.6505546569824,0,0,0.549615919589996,0.391723275184631,7.34000015258789,4.75530338287354,23.8324413299561,-2.99573230743408,0.17994150519371,0.175127252936363,0,0,5.49298906326294,NA,NA,0,0,1,124,0.196299180388451,"Macerata",11,"MARCHE",2.38095235824585,0,0,0,0,0,0,0,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,NA
"acquafredda","brescia","brescia","lombardia",0,0,0.102318145334721,0.102318145334721,0.901694893836975,0,0,0,0.0280000008642673,NA,1,0,0.809523820877075,1,0.730215847492218,0.0881355926394463,1,2.13647627830505,7.09506416320801,0.141791045665741,6.84054660797119,55,80,0,0,1,0.152738600969315,0.108105957508087,0.343294560909271,0.0398040413856506,0,0.160409554839134,0.06143344566226,0.773999989032745,0.0200244951993227,0.0923453718423843,1,719,1.4136039018631,5.40495586395264,50.3399353027344,357.165069580078,2534.10913085938,0.0692640691995621,0,0,0,0,0.0287769790738821,0.901694893836975,0.0101694911718369,0.121212124824524,0.127897679805756,0,0.0399999991059303,0.0199999995529652,0.0280000008642673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212261278647929,0,0,1,0,0.463116496801376,1,0,1,0,0.260844558477402,"brescia",0.102318145334721,0.799376748502254,3,17001,3017001,234788,45.2917175292969,10.375,5.42999982833862,24,1.81,3.62,0.97,0.839999973773956,0,3.61999988555908,689,71.5014266967773,0,5.05663537979126,6.73866701126099,0,0,0,94.1826019287109,45.7445831298828,0,0,1.40549695491791,0.173045381903648,0.550000011920929,0.0599484108388424,25.3855171203613,-2.99573230743408,0.104006700217724,0.288842499256134,0,0,5.00922966003418,4.47055721282959,5.03495264053345,0,0,1,1554.14285714286,0.162450939416885,"Brescia",3,"LOMBARDIA",0.3125,0,1.73723614215851,0.316225856542587,0.938212811946869,0.799023330211639,0,0.316225856542587,"ITALIA",0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,NA,0,NA
