"comune1921","circondario1921","provincia1921","regione1921","fascist_violence","fascist_branch","fascist1921_vv","fascist1921restr","fascist1924_vv","deportations_d","depo_pop_cap1","large_donors","foots_pop6m","excess_mf1918","rain1919","psu1913_vv","psu1919_vv","psu1920d","psu1921_vv","psu1924_vv","strike_agr_1920","z_red_scare_index","lpop1911","sh_pop_1911_be6","larea","centre_alt","max_alt","ard_vol_pop6m","army_suppliers_d","cruent_d","veterans74_95","veterans96_00","dlab","shcrop","landlord_ass","ind_workers","ind_firms","literacy","elites","bourgeoisie","ownfarm_lots1885","nazi_occ_duration","viol_crimes1874","crime1874","lpop2","lpop3","lpop4","ppi1919_vv","fascist1919_vv","nationalist1919_vv","pnf1921_vv","pnf1921_d","ppi1921_vv","off_fascist1924_vv","ppi1924_vv","traditional1919_vv","traditional1921_vv","traditional1924_vv","casualties_pop6m","draft_foots_pop6m","draftres_foots_pop6m","arditi_pop6m","volunt_pop6m","ard_vol_d","ass_memb1900s_pop","ass1900s_d","agrstrike1913_4","indstrike1913_4","agrstrikers1913_4","indstrikers1913_4","fascist_murders","political_violence","other_violence","mlarge1885","jewish_pop1911","monuments1921d","monuments1921_pop","volunteers1866d","volunteers1866_pop","z_fascism_index","no_south","psu_cand1913","salo","KZ","geometry","veterans","province_fe","fascist_spread_21","fascist_spread_24"
"abano","padova","padova","veneto",0,0,0.0229207165539265,NA,0.351797848939896,0,0,0,0.032577320933342,NA,0.938671171665192,0,0.397350996732712,1,0.611570239067078,0.340136051177979,0,0.665852844715118,8.6475191116333,0.171875,7.67647361755371,14,86,0,0,1,0.269479960203171,0.136279851198196,0.120083801448345,0.00770949712023139,0,0.0393431410193443,0.0150530273094773,0.74350517988205,0.0294692739844322,0.162374302744865,0,720,1.15835154056549,4.0950174331665,74.7795867919922,646.657897949219,5591.98681640625,0.482119202613831,0,0,0,0,0.292011022567749,0.351797848939896,0.297376096248627,0.120529800653458,0.073498010635376,0.00291545200161636,0.0420618541538715,0.00907216500490904,0.0309278350323439,0,0,0,0.17345504462719,1,0,0,0,0,0,0,0,0,0.00133819063194096,0,0,1,0,-0.854983508586884,1,0,1,0,c(11.8000001907349, 45.3499984741211),0.405759811401367,"padova",0.0229207165539265,0.328877132385969
"abbadiaalpina","pinerolo","torino","piemonte",0,0,0.0144576262682676,NA,0.176923081278801,0,0,0,0.0208643823862076,NA,0.544313609600067,0.338582664728165,0.47550430893898,0,0.361111104488373,0.196153849363327,0,-0.241664916276932,7.38336801528931,0.106898695230484,6.43775177001953,376,1386,0,0,1,0.188652843236923,0.118663214147091,0.134100154042244,0.0269322488456964,0,0.386243373155594,0.0238095242530107,0.870342791080475,0.0350680314004421,0.0722401440143585,1,720,0.863433599472046,6.2359094619751,54.5141220092773,402.497833251953,2971.78955078125,0.285302579402924,0,0,0,0,0.367283940315247,0.173076927661896,0.196153849363327,0.239193096756935,0.257147312164307,0.430769234895706,0.0432190746068954,0.0044709388166666,0.0208643823862076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155553658260033,0,0,0,0,-1.17837285995483,1,1,1,0,c(7.30999994277954, 44.8899993896484),0.307316057384014,"torino",0.0144576262682676,0.162465455010533
"abbadiacerreto","lodi","milano","lombardia",0,0,0.0854305848479271,NA,0.888059675693512,0,0,0,0.054166667163372,NA,0.845328986644745,0.0705882385373116,0.363636374473572,1,0.52816903591156,0.0671641826629639,0,0.608475565910339,6.25575017929077,0.161228403449059,6.41509675979614,64,70,0,0,1,0.337421894073486,0.203431233763695,0.516853928565979,0.00112359551712871,0,0.00701754400506616,0.00350877200253308,0.883333325386047,0.00898876413702965,0.0808988735079765,0,718,0.30418249964714,3.1432192325592,39.1344108581543,244.815093994141,1531.50207519531,0.113636367022991,0,0,0,0,0.133802816271782,0.888059675693512,0.0447761192917824,0.5,0.252597570419312,0,0.070833332836628,0.0416666679084301,0.0500000007450581,0,0,0,0,0,0,0,0,0,0,0,0,0,1.168265225715e-05,0,0,0,0,0.345304906368256,1,1,1,0,c(9.60000038146973, 45.2999992370605),0.540853127837181,"milano",0.0854305848479271,0.802629090845585
"abbadiasansalvatore","montepulciano","siena","toscana",0.414593696594238,1,0.0567807480692863,0.0567807480692863,0.9379061460495,0,0,1,0.0308641977608204,NA,0.749180614948273,0.153284668922424,0.46000000834465,1,0.519047617912292,0.0252707581967115,1,1.54163873195648,8.48135852813721,0.167081266641617,8.68236827850342,829,1734,0.000949667592067271,0,1,0.279980182647705,0.149919956922531,0.210146561264992,0.174746334552765,0,0.299723207950592,0.0114669827744365,0.455840468406677,0.0142051856964827,0.0505073294043541,1,421,0.259590953588486,1.33503925800323,71.9334411621094,610.093322753906,5174.419921875,0.387826085090637,0,0,0,0,0.238095238804817,0.9379061460495,0.0303249098360538,0.119999997317791,0.183695435523987,0.000722021679393947,0.0379867032170296,0.0166191831231117,0.0303893629461527,0.000949667592067271,0,1,0.0551409609615803,1,0,0,0,0,0.207296848297119,0.414593696594238,0,0,6.33560994174331e-05,0,0,0,0,2.42422080039978,1,1,1,0,c(11.6899995803833, 42.8699989318848),0.429900139570236,"siena",0.0567807480692863,0.881125397980213
"abbadiasopraadda","lecco","como","lombardia",0,0,0.0100524481385946,0.0100524481385946,0.532786905765533,0,0,0,0.0236697755753994,NA,1,0.0623347200453281,0.309677422046661,0,0.289772719144821,0.147540986537933,0,-0.523877620697021,6.6605749130249,0.145966708660126,6.99850940704346,209,1731,0,0,1,0.186890617012978,0.137432605028152,0.106064483523369,0.0111310137435794,0,0.508108079433441,0.013513513840735,0.942122161388397,0.0348004102706909,0.0871289670467377,0,720,1.08104336261749,4.28930139541626,44.3632583618164,295.484802246094,1968.0986328125,0.329032272100449,0,0,0,0,0.318181812763214,0.532786905765533,0.188524588942528,0.361290335655212,0.381993025541306,0.106557376682758,0.0376932471990585,0.00701173627749085,0.0236697755753994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64369410276413,1,1,1,0,c(9.32999992370605, 45.9000015258789),0.32432322204113,"como",0.0100524481385946,0.522734457626939
"abbassanta","oristano","cagliari","sardegna",0,0,0,0,0.61410790681839,0,0,0,0.0273037534207106,NA,0.692283451557159,0,0.00425531901419163,0,0.0232558138668537,0.00414937781170011,0,-1.04366075992584,7.2435131072998,0.140814870595932,8.29029273986816,290,453,0,0,1,0.145492002367973,0.118146739900112,0.38081431388855,0.0170351583510637,0,0.0278592370450497,0.00293255131691694,0.399317413568497,0.0588377453386784,0.0456687211990356,1,132,1.09223306179047,9.34465980529785,52.4684829711914,380.05615234375,2752.94165039062,0.0382978729903698,0,0,0,0,0.131782948970795,0.61410790681839,0.0954356864094734,0.519148945808411,0.577519357204437,0.0912863090634346,0.0290102381259203,0.0102389082312584,0.0273037534207106,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000222142203710973,0,0,0,0,-0.57312685251236,0,0,0,0,c(8.81999969482422, 40.1300010681152),0.263638742268085,"cagliari",0,0.61410790681839
"abbiategrasso","abbiategrasso","milano","lombardia",0,1,0.067796602845192,NA,0.443791061639786,1,1,0,0.0303867403417826,0.793880820274353,0.785852789878845,0.264533579349518,0.539511263370514,1,0.602590322494507,0.363196134567261,0,0.907788515090942,9.44667625427246,0.139902099967003,8.45190811157227,120,124,0.000184162068762816,1,1,0.178350180387497,0.11991310864687,0.0434300787746906,0.00298197916708887,0,0.246144160628319,0.0165250226855278,0.816022098064423,0.0596173293888569,0.230369001626968,0,721,0.367093712091446,2.27598094940186,89.2396926879883,843.018493652344,7963.72265625,0.149158999323845,0.0656934306025505,0,0,0,0.187798231840134,0.439294368028641,0.153925970196724,0.17994287610054,0.141814842820168,0.0217917673289776,0.038674034178257,0.0134438304230571,0.0289134439080954,0.000184162068762816,0,1,0.00434233387932181,1,1,0,0.271416455507278,0,0,0.0789515227079391,0.0789515227079391,1,7.44584986023256e-06,0,0,1,0,0.691469728946686,1,1,1,0,c(8.92000007629395, 45.3800010681152),0.298263289034367,"milano",0.00210317224264145,0.375994458794594
"abbiateguazzone","varese","como","lombardia",0.513874590396881,0,0.0403607338666916,NA,0.239740818738937,0,0,0,0.0376850590109825,NA,0.715651452541351,0.10429447889328,0.412987023591995,0,0.447598248720169,0.371490269899368,0,-0.348060071468353,7.57353115081787,0.194244608283043,6.93537044525146,313,371,0,0,1,0.254373610019684,0.156182259321213,0.105573453009129,0.0505075044929981,0,0.370967745780945,0.0139784943312407,0.932705223560333,0.044551145285368,0.121679939329624,0,719,1.10884153842926,4.02684545516968,57.3583755493164,434.405426025391,3289.98315429688,0.187012985348701,0,0,0,0,0.353711783885956,0.237580999732018,0.37580993771553,0.400000005960464,0.158329218626022,0.00647948123514652,0.0457604303956032,0.0148048456758261,0.0349932722747326,0,0,0,0,0,0,0,0,0,0,0.513874590396881,0,0,0.000219872948946431,0,0,0,0,0.330409735441208,1,1,1,0,c(8.92000007629395, 45.7000007629395),0.410555869340897,"como",0.0403607338666916,0.199380084872246
"abriola","potenza","potenza","basilicata",0,0,0,0,0.971644639968872,0,0,0,0.0393541865050793,NA,1,0,0,0,0,0.00189035921357572,0,-1.05090260505676,7.83439207077026,0.134204268455505,9.17616271972656,880,1722,0,0,1,0.0989521369338036,0.093791589140892,0.46698272228241,0.00491026090458035,0,0,0,0.186680123209953,0.0318320356309414,0.0541821867227554,0,134,1.7912392616272,4.23383808135986,61.3777008056641,480.856964111328,3767.22192382812,0,0,0,0,0,0.0752351060509682,0.0245746690779924,0,1,0.92476487159729,0.947069942951202,0.0484359227120876,0.0232088807970285,0.038345105946064,0,0,0,0.0114806015044451,1,0,0,0,0,0,0,0,0,0.00046277663204819,0,0,0,0,-0.0106801195070148,0,0,0,0,c(15.8199996948242, 40.5),0.192743726074696,"potenza",0,0.971644639968872
"accadia","arianodipuglia","avellino","campania",0,0,NA,NA,0.987224161624908,0,0,0,0.0384146347641945,NA,1,0,0,0,NA,0,0,-1.05090260505676,8.42704963684082,0.195885315537453,7.94449234008789,680,1067,0.000609756098128855,0,1,0.209249228239059,0.135448917746544,0.359775871038437,0.023224413394928,0,0.0602582506835461,0.0229555238038301,0.481097549200058,0.0201863348484039,0.0465838499367237,0,144,4.40359926223755,21.3478851318359,71.0151672363281,598.448303222656,5043.15380859375,NA,0,0,NA,NA,NA,0.987224161624908,0.00232288031838834,NA,NA,0.00929152127355337,0.043902438133955,0.0121951214969158,0.0347560979425907,0.000609756098128855,0,1,0.046399649232626,1,0,0,0,0,0,0,0,0,9.48067026911303e-05,1,0.218866273760796,0,0.218866273760796,0.407598227262497,0,0,0,0,c(15.3400001525879, 41.1500015258789),0.344698145985603,"avellino",NA,NA
