PRO_COM;dlf_1926
1022;1
1044;1
1272;1
1156;1
5005;1
4029;1
4078;1
4066;1
8063;1
8027;1
9001;1
9002;1
9029;1
9010;1
9003;1
10025;1
10058;1
10006;1
10049;1
6121;1
6009;1
6160;1
6114;1
6174;1
18182;1
6003;1
5005;1
4066;1
4078;1
3106;1
3008;1
103028;1
97045;1
16024;1
108033;1
15146;1
16219;1
98031;1
98052;1
17029;1
19036;1
20030;1
33032;1
23091;1
24116;1
28060;1
27038;1
27042;1
24012;1
26046;1
26086;1
27029;1
98018;1
25006;1
30129;1
10025;1
10054;1
10015;1
45006;1
11017;1
34027;1
35033;1
36023;1
37006;1
38008;1
39014;1
37032;1
37059;1
40012;1
40007;1
99013;1
46033;1
46007;1
47020;1
50031;1
49009;1
48014;1
48017;1
51033;1
51002;1
52032;1
52033;1
41044;1
42018;1
42002;1
109033;1
54039;1
54050;1
56042;1
56059;1
58032;1
58091;1
58104;1
58114;1
