document_link,Nomi_statuti,NOME ,PRO_COM,DROP
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0039b2bc835c8aafc1256f40003d00d3?OpenDocument,"Tutiano, Todiano (Preci)",Preci,54043,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/014c3fdc5af6a189c1256f3b004d2391?OpenDocument,Thonon-les-Bains,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0152d520b5154dacc1256f9a00422877?OpenDocument,Batignano (Grosseto),Grosseto,53011,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01548815d33db1ecc1256f3b004d26e3?OpenDocument,Tonda (Montaione),Montaione,48027,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/02664407319e54c9c1256fac00498591?OpenDocument,Trentino Alto Adige,#VALUE!,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/032ba217f867e617c1256fac00401954?OpenDocument,"Sanctus Michael De Clusa, San Michele della Chiusa, Sacra di San Michele (Chiusa di San Michele)",Chiusa di San Michele,1081,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/03480de3a5583aacc1256f9a00428292?OpenDocument,Budua,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/03fabcaf2148976bc1256fa3005fd6b2?OpenDocument,Maranola (Formia),Formia,59008,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/044718c63768e851c1256fa4004920ef?OpenDocument,Portovecchio (Portogruaro),Portogruaro,27029,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/04c7ecd8bf060bd9c1256fa2005a4be2?OpenDocument,"Gromtaleggio, Gromfaleggio (Pontida)",Pontida,16171,
