dropdown_value,dropdown_text,document_link
Abbadia,Abbadia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/584687f016b08db1c1256f9a00406632?OpenDocument
Abbadia Alpina (Pinerolo),Abbadia Alpina (Pinerolo),https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bbd84c82fbdce3c0c1256f9a00404c09?OpenDocument
Abbadia di Santa Maria di Pinerolo,Abbadia di Santa Maria di Pinerolo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bbd84c82fbdce3c0c1256f9a00404c09?OpenDocument
Abbadia Policinij,Abbadia Policinij,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3dbdbfb75f19fa20c1256f9a004065e3?OpenDocument
Abbadia San Salvatore,Abbadia San Salvatore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5171a4e1e55d9ed5c1256f9a00404c2a?OpenDocument
Abbatia de Thedaldis,Abbatia de Thedaldis,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/584687f016b08db1c1256f9a00406632?OpenDocument
Abondance,Abondance,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/87dde75b16587e1ec1256f9a00404c66?OpenDocument
Abruzzo,Abruzzo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ffbb195bb072d96ac1256f9a00404c7f?OpenDocument
Abserum,Abserum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/96781e45002f5417c1257a70004e2415?OpenDocument
Accelum,Accelum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/101bb73501a8c50bc1256f9a00405e80?OpenDocument
Acquafranca,Acquafranca,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/dd81e3a55a221d58c1256fac003ef231?OpenDocument
