"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0039b2bc835c8aafc1256f40003d00d3?OpenDocument","Tutiano, Todiano (Preci)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/014c3fdc5af6a189c1256f3b004d2391?OpenDocument","Thonon-les-Bains"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0152d520b5154dacc1256f9a00422877?OpenDocument","Batignano (Grosseto)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01548815d33db1ecc1256f3b004d26e3?OpenDocument","Tonda (Montaione)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/02664407319e54c9c1256fac00498591?OpenDocument","Trentino Alto Adige"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/032ba217f867e617c1256fac00401954?OpenDocument","Sanctus Michael De Clusa, San Michele della Chiusa, Sacra di San Michele (Chiusa di San Michele)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/03480de3a5583aacc1256f9a00428292?OpenDocument","Budua"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/03fabcaf2148976bc1256fa3005fd6b2?OpenDocument","Maranola (Formia)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/044718c63768e851c1256fa4004920ef?OpenDocument","Portovecchio (Portogruaro)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/04c7ecd8bf060bd9c1256fa2005a4be2?OpenDocument","Gromtaleggio, Gromfaleggio (Pontida)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/05cf166494f8367ac1256fa400491cff?OpenDocument","Pontenano (Talla)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0608747a0b58826fc1256fa2005a301e?OpenDocument","Gardesana dall'Acqua"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/065ffcb6ec8b392cc1256fa300601fe8?OpenDocument","Montecastello (Pontedera)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/06736198c83d8e03c1256fa3005fcd54?OpenDocument","Terre Arnolfe, Terranolfa, Macerino (Acquasparta)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/07d37dcfb64a442cc1256fa2005a06ab?OpenDocument","Figline Valdarno (Figline e Incisa Valdarno), Fighinum"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/08018dfc64476d43c1256f9a0054ce6e?OpenDocument","Collaltum, Collalto (Susegana)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/087c8c2e22994a6cc1256fa3005fe159?OpenDocument","Mazzorbo (Venezia), Mazorbo, Maiurbium"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/08e54346d955f217c1256f9a0056f581?OpenDocument","Dezanum, Dezano, Deggiano"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/094bebb3ccc57387c1256f40005bcca1?OpenDocument","Tierno (Mori), Thierno"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/095f19259b407f4dc1256fa400490b63?OpenDocument","Torre di Piancastello, Plananum, Pian di Castello (Mercatino Conca)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0964765be2557aeac1256fac00402cc4?OpenDocument","San Vito all'Incisa (Incisa in Val d'Arno), San Vito all'Ancisa"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0987361c7e54b065c1256f3b004d23a5?OpenDocument","Tiarno di Sotto"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0a1215445561b7dec1256fa40048d982?OpenDocument","Pardrignonum, Padergnone"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0aa4618d69ba4344c1256fa300602e98?OpenDocument","Montona"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0ab0f482ebaf9837c1256f9a0047c582?OpenDocument","Casalpoglio (Castel Goffredo)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0b35086ba3e3532fc1256fac00402ec0?OpenDocument","Santa Maria a Toro (San Nicola Manfredi)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0b596d003e4f9099c1256f9a004233a5?OpenDocument","Biasca, Ariasca"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c3f050ff1c1db7ec1256fac003ef18f?OpenDocument","Riviera, Rivera, Riperia, Reffier"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c42f8ec35e1f0f6c1256fa40048d2fa?OpenDocument","Orturano (Bagnone in Lunigiana)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c7e6c7b7eacb434c1256fac003ee38d?OpenDocument","Rapolano"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0c93d546d0cd8798c1256fac0040283a?OpenDocument","San Leucio (Caserta)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0cfb5ba3421c73d7c1256fa300601d47?OpenDocument","Montalto (Premilcuore)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0d7c1029d77135bdc1256fa2005a0561?OpenDocument","Fiano (Pescaglia)"
