"dropdown_value","dropdown_text.x","document_link","link_text.x","earliest_year.x","correct_name","dropdown_text.y","link_text.y","earliest_year.y","com_name","PRO_COM_T","COMUNE","stat","year_earliest_statuto","Nomi_statuti","NOME","PRO_COM","DROP"
"Abbadia","Abbadia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/584687f016b08db1c1256f9a00406632?OpenDocument","Badia Tedalda I 1, I - Statuti dei comuni, 1490-1724",1490,"Badia Tedalda","Badia Tedalda","Badia Tedalda I 1, I - Statuti dei comuni, 1490-1724",1490,"Badia Tedalda",51003,"Badia Tedalda",1,1490,NA,NA,NA,NA
"Abbadia Policinij","Abbadia Policinij","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3dbdbfb75f19fa20c1256f9a004065e3?OpenDocument","Badia Polesine I 1, I - Statuti dei comuni, 1644",1644,"Badia Polesine","Badia Polesine","Badia Polesine I 1, I - Statuti dei comuni, 1644",1644,"Badia Polesine",29004,"Badia Polesine",1,1644,NA,NA,NA,NA
"Abbadia San Salvatore","Abbadia San Salvatore","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5171a4e1e55d9ed5c1256f9a00404c2a?OpenDocument","Abbadia San Salvatore I 1, I - Statuti dei comuni, 1212",1212,"Abbadia San Salvatore","Abbadia San Salvatore","Abbadia San Salvatore I 1, I - Statuti dei comuni, 1212",1212,"Abbadia San Salvatore",52001,"Abbadia San Salvatore",1,1212,NA,NA,NA,NA
"Abbatia de Thedaldis","Abbatia de Thedaldis","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/584687f016b08db1c1256f9a00406632?OpenDocument","Badia Tedalda I 1, I - Statuti dei comuni, 1490-1724",1490,"Badia Tedalda","Badia Tedalda","Badia Tedalda I 1, I - Statuti dei comuni, 1490-1724",1490,"Badia Tedalda",51003,"Badia Tedalda",1,1490,NA,NA,NA,NA
"Accelum","Accelum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/101bb73501a8c50bc1256f9a00405e80?OpenDocument","Asolo I 1, I - Statuti dei comuni, 1662-1670",1662,"Asolo","Asolo","Asolo I 1, I - Statuti dei comuni, 1662-1670",1662,"Asolo",26003,"Asolo",1,1662,NA,NA,NA,NA
"Acqui Terme","Acqui Terme","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58a98fe6b8c9f689c1256f9a00404c91?OpenDocument","Acqui Terme I 1, I - Statuti dei comuni, 1277",1277,"Acqui Terme","Acqui Terme","Acqui Terme I 1, I - Statuti dei comuni, 1277",1277,"Acqui Terme",6001,"Acqui Terme",1,1277,NA,NA,NA,NA
"Adria","Adria","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8c644fa78670df13c1256f9a00404cd5?OpenDocument","Adria I 1, I - Statuti dei comuni, 1442-1605",1442,"Adria","Adria","Adria I 1, I - Statuti dei comuni, 1442-1605",1442,"Adria",29001,"Adria",1,1442,NA,NA,NA,NA
"Adria dell'Abruzzo","Adria dell'Abruzzo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/db3afe28314fd2f8c1256f9a00406214?OpenDocument","Atri I 1, I - Statuti dei comuni, 1336",1336,"Atri","Atri","Atri I 1, I - Statuti dei comuni, 1336",1336,"Atri",67004,"Atri",1,1336,NA,NA,NA,NA
"Aesium","Aesium","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d0e0e9857f6a98c7c1256fa2005a50eb?OpenDocument","Iesi I 1, I - Statuti dei comuni, 1499",1499,"Jesi","Jesi","Iesi I 1, I - Statuti dei comuni, 1499",1499,"Jesi",42021,"Jesi",1,1499,NA,NA,NA,NA
"Agamium","Agamium","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/778ae3e3901124d4c1256fa2005a4787?OpenDocument","Ghemme I 1, I - Statuti dei comuni, 1614",1614,"Ghemme","Ghemme","Ghemme I 1, I - Statuti dei comuni, 1614",1614,"Ghemme",3073,"Ghemme",1,1614,NA,NA,NA,NA
"Agnela","Agnela","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/b8ca7143cb711926c1256fa40048c623?OpenDocument","Niella Tanaro I 1, I - Statuti dei comuni, 1280-1328",1280,"Niella Tanaro","Niella Tanaro","Niella Tanaro I 1, I - Statuti dei comuni, 1280-1328",1280,"Niella Tanaro",4151,"Niella Tanaro",1,1280,NA,NA,NA,NA
"Agobbio","Agobbio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/fdc4a6a0497db419c1256fa2005a4f74?OpenDocument","Gubbio I 1, I - Statuti dei comuni, 1253-1287",1253,"Gubbio","Gubbio","Gubbio I 1, I - Statuti dei comuni, 1253-1287",1253,"Gubbio",54024,"Gubbio",1,1253,NA,NA,NA,NA
"Agrigento","Agrigento","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ebc0375c468d5df0c1256f9a00404e3e?OpenDocument","Agrigento I 1, I - Statuti dei comuni, 1093-1304",1093,"Agrigento","Agrigento","Agrigento I 1, I - Statuti dei comuni, 1093-1304",1093,"Agrigento",84001,"Agrigento",1,1093,NA,NA,NA,NA
"Agrigentum","Agrigentum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ebc0375c468d5df0c1256f9a00404e3e?OpenDocument","Agrigento I 1, I - Statuti dei comuni, 1093-1304",1093,"Agrigento","Agrigento","Agrigento I 1, I - Statuti dei comuni, 1093-1304",1093,"Agrigento",84001,"Agrigento",1,1093,NA,NA,NA,NA
"Agubbio","Agubbio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/fdc4a6a0497db419c1256fa2005a4f74?OpenDocument","Gubbio I 1, I - Statuti dei comuni, 1253-1287",1253,"Gubbio","Gubbio","Gubbio I 1, I - Statuti dei comuni, 1253-1287",1253,"Gubbio",54024,"Gubbio",1,1253,NA,NA,NA,NA
"Aieta","Aieta","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f3e7d5b8f99137ecc1256f9a00404edd?OpenDocument","Aieta I 1, I - Statuti dei comuni, 1490",1490,"Aieta","Aieta","Aieta I 1, I - Statuti dei comuni, 1490",1490,"Aieta",78005,"Aieta",1,1490,NA,NA,NA,NA
"Alassio","Alassio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4514c9af5bab730fc1256f9a00404f1b?OpenDocument","Alassio I 1, I - Statuti dei comuni, 1514-1516",1514,"Alassio","Alassio","Alassio I 1, I - Statuti dei comuni, 1514-1516",1514,"Alassio",9001,"Alassio",1,1514,NA,NA,NA,NA
"Alatri","Alatri","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f86fed6b57b24be0c1256fa8005423ed?OpenDocument","Alatri II2 1, II 2 - Confraternite",NA,"Alatri","Alatri","Alatri II2 1, II 2 - Confraternite",NA,"Alatri",60003,"Alatri",1,NA,NA,NA,NA,NA
"Alatrium","Alatrium","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f86fed6b57b24be0c1256fa8005423ed?OpenDocument","Alatri II2 1, II 2 - Confraternite",NA,"Alatri","Alatri","Alatri II2 1, II 2 - Confraternite",NA,"Alatri",60003,"Alatri",1,NA,NA,NA,NA,NA
"Alatro","Alatro","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f86fed6b57b24be0c1256fa8005423ed?OpenDocument","Alatri II2 1, II 2 - Confraternite",NA,"Alatri","Alatri","Alatri II2 1, II 2 - Confraternite",NA,"Alatri",60003,"Alatri",1,NA,NA,NA,NA,NA
"Alauda","Alauda","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c8491121904e9c97c1256fa3005fb5ce?OpenDocument","Lodi I 1, I - Statuti dei comuni, 1198-1307",1198,"Lodi","Lodi","Lodi I 1, I - Statuti dei comuni, 1198-1307",1198,"Lodi",98031,"Lodi",1,1198,NA,NA,NA,NA
"Alba","Alba","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/db8645d06d19a25fc1256f9a00404f26?OpenDocument","Alba I 1, I - Statuti dei comuni, 1026-1511",1026,"Alba","Alba","Alba I 1, I - Statuti dei comuni, 1026-1511",1026,"Alba",4003,"Alba",1,1026,NA,NA,NA,NA
"Albano Laziale","Albano Laziale","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1f860e37d5822c13c1256f9a00404fc6?OpenDocument","Albano Laziale I 1, I - Statuti dei comuni, 1662-1663",1662,"Albano Laziale","Albano Laziale","Albano Laziale I 1, I - Statuti dei comuni, 1662-1663",1662,"Albano Laziale",58003,"Albano Laziale",1,1662,NA,NA,NA,NA
"Albenga","Albenga","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga","Albenga","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga",9002,"Albenga",1,1179,NA,NA,NA,NA
"Alberona","Alberona","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/203d9e7d30ae3fecc1256f9a0040508b?OpenDocument","Alberona I 1, I - Statuti dei comuni, 1488-1648",1488,"Alberona","Alberona","Alberona I 1, I - Statuti dei comuni, 1488-1648",1488,"Alberona",71002,"Alberona",1,1488,NA,NA,NA,NA
"Albiano d'Ivrea","Albiano d'Ivrea","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58210ef549b20bb2c1256f9a00405099?OpenDocument","Albiano D'Ivrea I 1, I - Statuti dei comuni, 1429",1429,"Albiano d'Ivrea","Albiano d'Ivrea","Albiano D'Ivrea I 1, I - Statuti dei comuni, 1429",1429,"Albiano d'Ivrea",1004,"Albiano d'Ivrea",1,1429,NA,NA,NA,NA
"Albianum","Albianum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58210ef549b20bb2c1256f9a00405099?OpenDocument","Albiano D'Ivrea I 1, I - Statuti dei comuni, 1429",1429,"Albiano d'Ivrea","Albiano d'Ivrea","Albiano D'Ivrea I 1, I - Statuti dei comuni, 1429",1429,"Albiano d'Ivrea",1004,"Albiano d'Ivrea",1,1429,NA,NA,NA,NA
"Albinga","Albinga","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga","Albenga","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga",9002,"Albenga",1,1179,NA,NA,NA,NA
"Albingaunum","Albingaunum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5d19549ae3d66751c1256f9a00404fd2?OpenDocument","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga","Albenga","Albenga I 1, I - Statuti dei comuni, 1179-1519",1179,"Albenga",9002,"Albenga",1,1179,NA,NA,NA,NA
"Albisola Superiore","Albisola Superiore","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5c200805d0cb9e49c12571e6003be1fc?OpenDocument","Albisola II 1, II 1 - Corporazioni",NA,"Albisola Superiore","Albisola Superiore","Albisola II 1, II 1 - Corporazioni",NA,"Albisola Superiore",9004,"Albisola Superiore",1,NA,NA,NA,NA,NA
"Alcamo","Alcamo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/916e29b5675caeefc1256f9a0040510e?OpenDocument","Alcamo I 1, I - Statuti dei comuni, 1223-1630",1223,"Alcamo","Alcamo","Alcamo I 1, I - Statuti dei comuni, 1223-1630",1223,"Alcamo",81001,"Alcamo",1,1223,NA,NA,NA,NA
"Alcamus","Alcamus","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/916e29b5675caeefc1256f9a0040510e?OpenDocument","Alcamo I 1, I - Statuti dei comuni, 1223-1630",1223,"Alcamo","Alcamo","Alcamo I 1, I - Statuti dei comuni, 1223-1630",1223,"Alcamo",81001,"Alcamo",1,1223,NA,NA,NA,NA
